video	label	id	t_start	t_end	frames
1CM42_18_R_#178	G06	9	2821	2983	163
1CM42_18_R_#178	B0B	3	2984	3121	138
1CM42_18_R_#178	G03	6	3122	3170	49
1CM42_18_R_#178	B0B	3	3171	3371	201
1CM42_18_R_#178	G02	5	3372	3417	46
1CM42_18_R_#178	B0B	3	3418	3624	207
1CM42_18_R_#178	G11	14	3625	3665	41
1CM42_18_R_#179	D0X	1	1	55	55
1CM42_18_R_#179	G07	10	56	114	59
1CM42_18_R_#179	B0B	3	115	340	226
1CM42_18_R_#179	G05	8	341	403	63
1CM42_18_R_#179	B0A	2	404	689	286
1CM42_18_R_#179	G09	12	690	756	67
1CM42_18_R_#179	B0B	3	757	1023	267
1CM42_18_R_#179	G08	11	1024	1066	43
1CM42_18_R_#179	B0A	2	1067	1271	205
1CM42_18_R_#179	D0X	1	1272	1528	257
1CM42_18_R_#179	G03	6	1529	1563	35
1CM42_18_R_#179	B0A	2	1564	1763	200
1CM42_18_R_#179	G04	7	1764	1797	34
1CM42_18_R_#179	B0B	3	1798	2105	308
1CM42_18_R_#179	G10	13	2106	2142	37
1CM42_18_R_#179	B0A	2	2143	2408	266
1CM42_18_R_#179	D0X	1	2409	2674	266
1CM42_18_R_#179	G02	5	2675	2715	41
1CM42_18_R_#179	B0B	3	2716	2963	248
1CM42_18_R_#179	D0X	1	2964	3139	176
1CM42_18_R_#179	G11	14	3140	3203	64
1CM42_18_R_#179	B0A	2	3204	3375	172
1CM42_18_R_#179	G01	4	3376	3418	43
1CM42_18_R_#179	B0B	3	3419	3615	197
1CM42_18_R_#179	G06	9	3616	3686	71
1CM42_18_R_#180	D0X	1	1	32	32
1CM42_18_R_#180	G08	11	33	69	37
1CM42_18_R_#180	B0B	3	70	281	212
1CM42_18_R_#180	G07	10	282	391	110
1CM42_18_R_#180	B0B	3	392	598	207
1CM42_18_R_#180	G05	8	599	646	48
1CM42_18_R_#180	B0A	2	647	892	246
1CM42_18_R_#180	D0X	1	893	1160	268
1CM42_18_R_#180	G10	13	1161	1194	34
1CM42_18_R_#180	B0A	2	1195	1439	245
1CM42_18_R_#180	G01	4	1440	1486	47
1CM42_18_R_#180	B0A	2	1487	1673	187
1CM42_18_R_#180	D0X	1	1674	1928	255
1CM42_18_R_#180	G03	6	1929	1963	35
1CM42_18_R_#180	B0B	3	1964	2221	258
1CM42_18_R_#180	G11	14	2222	2272	51
1CM42_18_R_#180	B0B	3	2273	2477	205
1CM42_18_R_#180	D0X	1	2478	2645	168
1CM42_18_R_#180	G04	7	2646	2700	55
1CM42_18_R_#180	B0B	3	2701	2894	194
1CM42_18_R_#180	G09	12	2895	2939	45
1CM42_18_R_#180	B0A	2	2940	3176	237
1CM42_18_R_#180	G06	9	3177	3238	62
1CM42_18_R_#180	B0A	2	3239	3567	329
1CM42_18_R_#180	G02	5	3568	3603	36
1CM42_18_R_#180	B0B	3	3604	3618	15
1CM1_1_R_#217	D0X	1	1	28	28
1CM1_1_R_#217	G10	13	29	72	44
1CM1_1_R_#217	B0A	2	73	235	163
1CM1_1_R_#217	G07	10	236	260	25
1CM1_1_R_#217	B0A	2	261	448	188
1CM1_1_R_#217	G11	14	449	509	61
1CM1_1_R_#217	B0B	3	510	756	247
1CM1_1_R_#217	G06	9	757	788	32
1CM1_1_R_#217	B0B	3	789	1064	276
1CM1_1_R_#217	G04	7	1065	1101	37
1CM1_1_R_#217	B0B	3	1102	1353	252
1CM1_1_R_#217	D0X	1	1354	1883	530
1CM1_1_R_#217	G03	6	1884	1938	55
1CM1_1_R_#217	B0A	2	1939	2168	230
1CM1_1_R_#217	G09	12	2169	2194	26
1CM1_1_R_#217	B0A	2	2195	2407	213
1CM1_1_R_#217	D0X	1	2408	2860	453
1CM1_1_R_#217	G02	5	2861	2906	46
1CM1_1_R_#217	B0B	3	2907	3151	245
1CM1_1_R_#217	D0X	1	3152	3387	236
1CM1_1_R_#217	G08	11	3388	3414	27
1CM1_1_R_#217	B0A	2	3415	3549	135
1CM1_1_R_#217	G01	4	3550	3587	38
1CM1_1_R_#217	B0B	3	3588	3755	168
1CM1_1_R_#217	G05	8	3756	3798	43
1CM1_1_R_#217	D0X	1	3799	3854	56
1CM1_1_R_#218	D0X	1	1	19	19
1CM1_1_R_#218	G01	4	20	49	30
1CM1_1_R_#218	B0B	3	50	239	190
1CM1_1_R_#218	G10	13	240	287	48
1CM1_1_R_#218	B0B	3	288	500	213
1CM1_1_R_#218	G04	7	501	539	39
1CM1_1_R_#218	B0B	3	540	728	189
1CM1_1_R_#218	D0X	1	729	1040	312
1CM1_1_R_#218	G02	5	1041	1074	34
1CM1_1_R_#218	B0B	3	1075	1322	248
1CM1_1_R_#218	G09	12	1323	1358	36
1CM1_1_R_#218	B0A	2	1359	1584	226
1CM1_1_R_#218	D0X	1	1585	1905	321
1CM1_1_R_#218	G07	10	1906	1945	40
1CM1_1_R_#218	B0B	3	1946	2195	250
1CM1_1_R_#218	D0X	1	2196	2490	295
1CM1_1_R_#218	G11	14	2491	2543	53
1CM1_1_R_#218	B0A	2	2544	2779	236
1CM1_1_R_#218	G06	9	2780	2824	45
1CM1_1_R_#218	B0A	2	2825	3021	197
1CM1_1_R_#218	G08	11	3022	3054	33
1CM1_1_R_#218	B0A	2	3055	3275	221
1CM1_1_R_#218	G03	6	3276	3315	40
1CM1_1_R_#218	B0A	2	3316	3547	232
1CM1_1_R_#218	G05	8	3548	3597	50
1CM1_1_R_#218	D0X	1	3598	3655	58
1CM1_1_R_#219	D0X	1	1	21	21
1CM1_1_R_#219	G08	11	22	61	40
1CM1_1_R_#219	B0A	2	62	275	214
1CM1_1_R_#219	G01	4	276	304	29
1CM1_1_R_#219	B0B	3	305	577	273
1CM1_1_R_#219	G03	6	578	625	48
1CM1_1_R_#219	B0B	3	626	842	217
1CM1_1_R_#219	G11	14	843	889	47
1CM1_1_R_#219	B0A	2	890	1130	241
1CM1_1_R_#219	D0X	1	1131	1500	370
1CM1_1_R_#219	G06	9	1501	1566	66
1CM1_1_R_#219	B0A	2	1567	1829	263
1CM1_1_R_#219	G04	7	1830	1872	43
1CM1_1_R_#219	B0A	2	1873	2086	214
1CM1_1_R_#219	G05	8	2087	2131	45
1CM1_1_R_#219	B0A	2	2132	2381	250
1CM1_1_R_#219	G02	5	2382	2415	34
1CM1_1_R_#219	B0B	3	2416	2681	266
1CM1_1_R_#219	D0X	1	2682	3016	335
1CM1_1_R_#219	G07	10	3017	3053	37
1CM1_1_R_#219	B0B	3	3054	3352	299
1CM1_1_R_#219	D0X	1	3353	3598	246
1CM1_1_R_#219	G09	12	3599	3639	41
1CM1_1_R_#219	B0B	3	3640	3817	178
1CM1_1_R_#219	G10	13	3818	3864	47
1CM1_1_R_#219	D0X	1	3865	3921	57
1CM1_1_R_#220	D0X	1	1	25	25
1CM1_1_R_#220	G07	10	26	68	43
1CM1_1_R_#220	B0B	3	69	307	239
1CM1_1_R_#220	G03	6	308	344	37
1CM1_1_R_#220	B0B	3	345	572	228
1CM1_1_R_#220	G06	9	573	611	39
1CM1_1_R_#220	B0A	2	612	883	272
1CM1_1_R_#220	G09	12	884	918	35
1CM1_1_R_#220	B0B	3	919	1160	242
1CM1_1_R_#220	D0X	1	1161	1457	297
1CM1_1_R_#220	G05	8	1458	1507	50
1CM1_1_R_#220	B0A	2	1508	1761	254
1CM1_1_R_#220	G02	5	1762	1788	27
1CM1_1_R_#220	B0A	2	1789	2014	226
1CM1_1_R_#220	D0X	1	2015	2372	358
1CM1_1_R_#220	G01	4	2373	2405	33
1CM1_1_R_#220	B0B	3	2406	2644	239
1CM1_1_R_#220	G11	14	2645	2689	45
1CM1_1_R_#220	B0B	3	2690	2915	226
1CM1_1_R_#220	D0X	1	2916	3227	312
1CM1_1_R_#220	G04	7	3228	3267	40
1CM1_1_R_#220	B0A	2	3268	3482	215
1CM1_1_R_#220	G08	11	3483	3514	32
1CM1_1_R_#220	B0A	2	3515	3789	275
1CM1_1_R_#220	G10	13	3790	3836	47
1CM1_1_R_#220	D0X	1	3837	3889	53
1CM1_2_R_#221	D0X	1	1	75	75
1CM1_2_R_#221	G09	12	76	128	53
1CM1_2_R_#221	D0X	1	129	144	16
1CM1_2_R_#221	B0A	2	145	348	204
1CM1_2_R_#221	D0X	1	349	375	27
1CM1_2_R_#221	G11	14	376	423	48
1CM1_2_R_#221	D0X	1	424	457	34
1CM1_2_R_#221	B0A	2	458	592	135
1CM1_2_R_#221	D0X	1	593	649	57
1CM1_2_R_#221	G10	13	650	691	42
1CM1_2_R_#221	D0X	1	692	728	37
1CM1_2_R_#221	B0B	3	729	907	179
1CM1_2_R_#221	D0X	1	908	936	29
1CM1_2_R_#221	G03	6	937	988	52
1CM1_2_R_#221	D0X	1	989	1025	37
1CM1_2_R_#221	B0B	3	1026	1172	147
1CM1_2_R_#221	D0X	1	1173	1391	219
1CM1_2_R_#221	G06	9	1392	1456	65
1CM1_2_R_#221	D0X	1	1457	1518	62
1CM1_2_R_#221	B0A	2	1519	1674	156
1CM1_2_R_#221	D0X	1	1675	1750	76
1CM1_2_R_#221	G02	5	1751	1788	38
1CM1_2_R_#221	D0X	1	1789	1883	95
1CM1_2_R_#221	B0B	3	1884	2045	162
1CM1_2_R_#221	D0X	1	2046	2106	61
1CM1_2_R_#221	G04	7	2107	2173	67
1CM1_2_R_#221	D0X	1	2174	2228	55
1CM1_2_R_#221	B0A	2	2229	2363	135
1CM1_2_R_#221	D0X	1	2364	2650	287
1CM1_2_R_#221	G05	8	2651	2710	60
1CM1_2_R_#221	D0X	1	2711	2729	19
1CM1_2_R_#221	B0A	2	2730	2833	104
1CM1_2_R_#221	D0X	1	2834	2995	162
1CM1_2_R_#221	G07	10	2996	3044	49
1CM1_2_R_#221	D0X	1	3045	3103	59
1CM1_2_R_#221	B0B	3	3104	3299	196
1CM1_2_R_#221	D0X	1	3300	3370	71
1CM1_2_R_#221	G08	11	3371	3405	35
1CM1_2_R_#221	D0X	1	3406	3495	90
1CM1_2_R_#221	B0B	3	3496	3642	147
1CM1_2_R_#221	D0X	1	3643	3688	46
1CM1_2_R_#221	G01	4	3689	3723	35
1CM1_2_R_#221	D0X	1	3724	3768	45
1CM1_2_R_#222	D0X	1	1	29	29
1CM1_2_R_#222	G08	11	30	80	51
1CM1_2_R_#222	D0X	1	81	107	27
1CM1_2_R_#222	B0A	2	108	250	143
1CM1_2_R_#222	D0X	1	251	307	57
1CM1_2_R_#222	G10	13	308	337	30
1CM1_2_R_#222	D0X	1	338	364	27
1CM1_2_R_#222	B0A	2	365	509	145
1CM1_2_R_#222	D0X	1	510	554	45
1CM1_2_R_#222	G04	7	555	594	40
1CM1_2_R_#222	D0X	1	595	654	60
1CM1_2_R_#222	B0A	2	655	839	185
1CM1_2_R_#222	D0X	1	840	903	64
1CM1_2_R_#222	G06	9	904	925	22
1CM1_2_R_#222	D0X	1	926	984	59
1CM1_2_R_#222	B0B	3	985	1151	167
1CM1_2_R_#222	D0X	1	1152	1415	264
1CM1_2_R_#222	G05	8	1416	1441	26
1CM1_2_R_#222	D0X	1	1442	1493	52
1CM1_2_R_#222	B0B	3	1494	1673	180
1CM1_2_R_#222	D0X	1	1674	1709	36
1CM1_2_R_#222	G01	4	1710	1733	24
1CM1_2_R_#222	D0X	1	1734	1793	60
1CM1_2_R_#222	B0B	3	1794	1948	155
1CM1_2_R_#222	D0X	1	1949	1987	39
1CM1_2_R_#222	G02	5	1988	2013	26
1CM1_2_R_#222	D0X	1	2014	2036	23
1CM1_2_R_#222	B0B	3	2037	2204	168
1CM1_2_R_#222	D0X	1	2205	2511	307
1CM1_2_R_#222	G09	12	2512	2553	42
1CM1_2_R_#222	D0X	1	2554	2597	44
1CM1_2_R_#222	B0B	3	2598	2763	166
1CM1_2_R_#222	D0X	1	2764	2874	111
1CM1_2_R_#222	G03	6	2875	2937	63
1CM1_2_R_#222	D0X	1	2938	2968	31
1CM1_2_R_#222	B0A	2	2969	3129	161
1CM1_2_R_#222	D0X	1	3130	3175	46
1CM1_2_R_#222	G07	10	3176	3211	36
1CM1_2_R_#222	D0X	1	3212	3255	44
1CM1_2_R_#222	B0A	2	3256	3412	157
1CM1_2_R_#222	D0X	1	3413	3455	43
1CM1_2_R_#222	G11	14	3456	3507	52
1CM1_2_R_#222	D0X	1	3508	3650	143
1CM1_2_R_#223	D0X	1	1	29	29
1CM1_2_R_#223	G07	10	30	63	34
1CM1_2_R_#223	D0X	1	64	101	38
1CM1_2_R_#223	B0A	2	102	263	162
1CM1_2_R_#223	D0X	1	264	358	95
1CM1_2_R_#223	G01	4	359	397	39
1CM1_2_R_#223	D0X	1	398	449	52
1CM1_2_R_#223	B0A	2	450	605	156
1CM1_2_R_#223	D0X	1	606	697	92
1CM1_2_R_#223	G08	11	698	729	32
1CM1_2_R_#223	D0X	1	730	865	136
1CM1_2_R_#223	B0B	3	866	1033	168
1CM1_2_R_#223	D0X	1	1034	1059	26
1CM1_2_R_#223	G11	14	1060	1110	51
1CM1_2_R_#223	D0X	1	1111	1150	40
1CM1_2_R_#223	B0A	2	1151	1281	131
1CM1_2_R_#223	D0X	1	1282	1497	216
1CM1_2_R_#223	G05	8	1498	1518	21
1CM1_2_R_#223	D0X	1	1519	1567	49
1CM1_2_R_#223	B0A	2	1568	1693	126
1CM1_2_R_#223	D0X	1	1694	1971	278
1CM1_2_R_#223	G02	5	1972	1995	24
1CM1_2_R_#223	D0X	1	1996	2049	54
1CM1_2_R_#223	B0B	3	2050	2193	144
1CM1_2_R_#223	D0X	1	2194	2217	24
1CM1_2_R_#223	G10	13	2218	2254	37
1CM1_2_R_#223	D0X	1	2255	2301	47
1CM1_2_R_#223	B0B	3	2302	2483	182
1CM1_2_R_#223	D0X	1	2484	2506	23
1CM1_2_R_#223	G06	9	2507	2557	51
1CM1_2_R_#223	D0X	1	2558	2652	95
1CM1_2_R_#223	B0B	3	2653	2832	180
1CM1_2_R_#223	D0X	1	2833	2876	44
1CM1_2_R_#223	G03	6	2877	2924	48
1CM1_2_R_#223	D0X	1	2925	2978	54
1CM1_2_R_#223	B0B	3	2979	3164	186
1CM1_2_R_#223	D0X	1	3165	3368	204
1CM1_2_R_#223	G04	7	3369	3421	53
1CM1_2_R_#223	D0X	1	3422	3489	68
1CM1_2_R_#223	B0A	2	3490	3699	210
1CM1_2_R_#223	D0X	1	3700	3826	127
1CM1_2_R_#223	G09	12	3827	3875	49
1CM1_2_R_#223	D0X	1	3876	3988	113
1CM1_2_R_#224	D0X	1	1	34	34
1CM1_2_R_#224	G01	4	35	87	53
1CM1_2_R_#224	D0X	1	88	130	43
1CM1_2_R_#224	B0A	2	131	265	135
1CM1_2_R_#224	D0X	1	266	273	8
1CM1_2_R_#224	G11	14	274	343	70
1CM1_2_R_#224	D0X	1	344	376	33
1CM1_2_R_#224	B0A	2	377	520	144
1CM1_2_R_#224	D0X	1	521	565	45
1CM1_2_R_#224	G09	12	566	600	35
1CM1_2_R_#224	D0X	1	601	683	83
1CM1_2_R_#224	B0B	3	684	828	145
1CM1_2_R_#224	D0X	1	829	872	44
1CM1_2_R_#224	G06	9	873	930	58
1CM1_2_R_#224	D0X	1	931	991	61
1CM1_2_R_#224	B0A	2	992	1130	139
1CM1_2_R_#224	D0X	1	1131	1339	209
1CM1_2_R_#224	G10	13	1340	1389	50
1CM1_2_R_#224	D0X	1	1390	1422	33
1CM1_2_R_#224	B0B	3	1423	1579	157
1CM1_2_R_#224	D0X	1	1580	1786	207
1CM1_2_R_#224	G04	7	1787	1841	55
1CM1_2_R_#224	D0X	1	1842	1896	55
1CM1_2_R_#224	B0B	3	1897	2054	158
1CM1_2_R_#224	D0X	1	2055	2105	51
1CM1_2_R_#224	G07	10	2106	2162	57
1CM1_2_R_#224	D0X	1	2163	2223	61
1CM1_2_R_#224	B0A	2	2224	2368	145
1CM1_2_R_#224	D0X	1	2369	2399	31
1CM1_2_R_#224	G05	8	2400	2446	47
1CM1_2_R_#224	D0X	1	2447	2493	47
1CM1_2_R_#224	B0B	3	2494	2629	136
1CM1_2_R_#224	D0X	1	2630	2916	287
1CM1_2_R_#224	G03	6	2917	2979	63
1CM1_2_R_#224	D0X	1	2980	3020	41
1CM1_2_R_#224	B0B	3	3021	3266	246
1CM1_2_R_#224	D0X	1	3267	3339	73
1CM1_2_R_#224	G02	5	3340	3368	29
1CM1_2_R_#224	D0X	1	3369	3437	69
1CM1_2_R_#224	B0A	2	3438	3612	175
1CM1_2_R_#224	D0X	1	3613	3650	38
1CM1_2_R_#224	G08	11	3651	3693	43
1CM1_2_R_#224	D0X	1	3694	3822	129
1CM1_3_R_#225	D0X	1	1	43	43
1CM1_3_R_#225	G01	4	44	78	35
1CM1_3_R_#225	B0B	3	79	344	266
1CM1_3_R_#225	G05	8	345	395	51
1CM1_3_R_#225	B0A	2	396	660	265
1CM1_3_R_#225	G11	14	661	706	46
1CM1_3_R_#225	B0B	3	707	934	228
1CM1_3_R_#225	G04	7	935	971	37
1CM1_3_R_#225	B0A	2	972	1289	318
1CM1_3_R_#225	G09	12	1290	1338	49
1CM1_3_R_#225	B0B	3	1339	1635	297
1CM1_3_R_#225	D0X	1	1636	1926	291
1CM1_3_R_#225	G08	11	1927	1988	62
1CM1_3_R_#225	B0A	2	1989	2245	257
1CM1_3_R_#225	D0X	1	2246	2470	225
1CM1_3_R_#225	G03	6	2471	2506	36
1CM1_3_R_#225	B0A	2	2507	2520	14
1CM1_3_R_#225	B0B	3	2521	2884	364
1CM1_3_R_#225	G07	10	2885	2954	70
1CM1_3_R_#225	B0A	2	2955	3270	316
1CM1_3_R_#225	G06	9	3271	3313	43
1CM1_3_R_#225	B0B	3	3314	3330	17
1CM1_3_R_#225	B0A	2	3331	3593	263
1CM1_3_R_#225	D0X	1	3594	3857	264
1CM1_3_R_#225	G10	13	3858	3923	66
1CM1_3_R_#225	B0B	3	3924	4136	213
1CM1_3_R_#225	G02	5	4137	4185	49
1CM1_3_R_#225	D0X	1	4186	4260	75
1CM1_3_R_#226	D0X	1	1	56	56
1CM1_3_R_#226	G11	14	57	85	29
1CM1_3_R_#226	B0B	3	86	351	266
1CM1_3_R_#226	G08	11	352	394	43
1CM1_3_R_#226	B0A	2	395	683	289
1CM1_3_R_#226	G02	5	684	720	37
1CM1_3_R_#226	B0A	2	721	1085	365
1CM1_3_R_#226	D0X	1	1086	1493	408
1CM1_3_R_#226	G05	8	1494	1519	26
1CM1_3_R_#226	B0A	2	1520	1991	472
1CM1_3_R_#226	D0X	1	1992	2339	348
1CM1_3_R_#226	G04	7	2340	2376	37
1CM1_3_R_#226	B0B	3	2377	2641	265
1CM1_3_R_#226	G10	13	2642	2676	35
1CM1_3_R_#226	B0A	2	2677	3052	376
1CM1_3_R_#226	D0X	1	3053	3411	359
1CM1_3_R_#226	G06	9	3412	3443	32
1CM1_3_R_#226	B0B	3	3444	3778	335
1CM1_3_R_#226	G03	6	3779	3806	28
1CM1_3_R_#226	B0A	2	3807	4057	251
1CM1_3_R_#226	G07	10	4058	4084	27
1CM1_3_R_#226	B0B	3	4085	4354	270
1CM1_3_R_#226	G09	12	4355	4405	51
1CM1_3_R_#226	B0B	3	4406	4729	324
1CM1_3_R_#226	G01	4	4730	4768	39
1CM1_3_R_#226	D0X	1	4769	4795	27
1CM1_3_R_#227	D0X	1	1	37	37
1CM1_3_R_#227	G07	10	38	61	24
1CM1_3_R_#227	B0B	3	62	366	305
1CM1_3_R_#227	G08	11	367	416	50
1CM1_3_R_#227	B0A	2	417	732	316
1CM1_3_R_#227	G11	14	733	764	32
1CM1_3_R_#227	B0A	2	765	1104	340
1CM1_3_R_#227	G05	8	1105	1153	49
1CM1_3_R_#227	B0B	3	1154	1500	347
1CM1_3_R_#227	D0X	1	1501	1873	373
1CM1_3_R_#227	G10	13	1874	1912	39
1CM1_3_R_#227	B0A	2	1913	2413	501
1CM1_3_R_#227	D0X	1	2414	2652	239
1CM1_3_R_#227	G03	6	2653	2699	47
1CM1_3_R_#227	B0B	3	2700	3010	311
1CM1_3_R_#227	G09	12	3011	3055	45
1CM1_3_R_#227	B0B	3	3056	3351	296
1CM1_3_R_#227	D0X	1	3352	3681	330
1CM1_3_R_#227	G01	4	3682	3712	31
1CM1_3_R_#227	B0B	3	3713	4362	650
1CM1_3_R_#227	G02	5	4363	4400	38
1CM1_3_R_#227	B0A	2	4401	4667	267
1CM1_3_R_#227	G06	9	4668	4698	31
1CM1_3_R_#227	B0A	2	4699	4999	301
1CM1_3_R_#227	G04	7	5000	5038	39
1CM1_3_R_#228	D0X	1	1	53	53
1CM1_3_R_#228	G08	11	54	88	35
1CM1_3_R_#228	B0A	2	89	361	273
1CM1_3_R_#228	G10	13	362	388	27
1CM1_3_R_#228	B0A	2	389	622	234
1CM1_3_R_#228	G07	10	623	647	25
1CM1_3_R_#228	B0B	3	648	922	275
1CM1_3_R_#228	G09	12	923	969	47
1CM1_3_R_#228	B0A	2	970	1314	345
1CM1_3_R_#228	D0X	1	1315	1500	186
1CM1_3_R_#228	G05	8	1501	1543	43
1CM1_3_R_#228	B0A	2	1544	1950	407
1CM1_3_R_#228	D0X	1	1951	2108	158
1CM1_3_R_#228	G06	9	2109	2151	43
1CM1_3_R_#228	B0B	3	2152	2473	322
1CM1_3_R_#228	G02	5	2474	2503	30
1CM1_3_R_#228	B0B	3	2504	2804	301
1CM1_3_R_#228	G11	14	2805	2845	41
1CM1_3_R_#228	B0B	3	2846	3196	351
1CM1_3_R_#228	D0X	1	3197	3443	247
1CM1_3_R_#228	G01	4	3444	3462	19
1CM1_3_R_#228	B0A	2	3463	3771	309
1CM1_3_R_#228	G03	6	3772	3800	29
1CM1_3_R_#228	B0B	3	3801	4112	312
1CM1_3_R_#228	G04	7	4113	4169	57
1CM1_3_R_#228	D0X	1	4170	4176	7
1CM42_15_R_#197	B0A	2	1	14	14
1CM42_15_R_#197	G05	8	15	71	57
1CM42_15_R_#197	B0B	3	72	347	276
1CM42_15_R_#197	G08	11	348	414	67
1CM42_15_R_#197	B0B	3	415	742	328
1CM42_15_R_#197	G03	6	743	792	50
1CM42_15_R_#197	B0B	3	793	1060	268
1CM42_15_R_#197	G11	14	1061	1083	23
1CM42_15_R_#197	B0A	2	1084	1337	254
1CM42_15_R_#197	G07	10	1338	1401	64
1CM42_15_R_#197	B0A	2	1402	1620	219
1CM42_15_R_#197	G06	9	1621	1670	50
1CM42_15_R_#197	B0A	2	1671	1953	283
1CM42_15_R_#197	D0X	1	1954	2250	297
1CM42_15_R_#197	G02	5	2251	2281	31
1CM42_15_R_#197	B0B	3	2282	2662	381
1CM42_15_R_#197	G09	12	2663	2697	35
1CM42_15_R_#197	B0B	3	2698	2959	262
1CM42_15_R_#197	D0X	1	2960	3198	239
1CM42_15_R_#197	G10	13	3199	3259	61
1CM42_15_R_#197	B0A	2	3260	3540	281
1CM42_15_R_#197	D0X	1	3541	3711	171
1CM42_15_R_#197	G01	4	3712	3743	32
1CM42_15_R_#197	B0A	2	3744	4009	266
1CM42_15_R_#197	G04	7	4010	4032	23
1CM42_15_R_#197	D0X	1	4033	4124	92
1CM42_15_R_#198	B0A	2	1	15	15
1CM42_15_R_#198	G06	9	16	62	47
1CM42_15_R_#198	B0B	3	63	360	298
1CM42_15_R_#198	G05	8	361	406	46
1CM42_15_R_#198	B0A	2	407	822	416
1CM42_15_R_#198	G01	4	823	852	30
1CM42_15_R_#198	B0B	3	853	1141	289
1CM42_15_R_#198	G09	12	1142	1181	40
1CM42_15_R_#198	B0A	2	1182	1530	349
1CM42_15_R_#198	D0X	1	1531	1760	230
1CM42_15_R_#198	G08	11	1761	1830	70
1CM42_15_R_#198	B0A	2	1831	2160	330
1CM42_15_R_#198	G03	6	2161	2210	50
1CM42_15_R_#198	B0B	3	2211	2511	301
1CM42_15_R_#198	D0X	1	2512	2764	253
1CM42_15_R_#198	G02	5	2765	2808	44
1CM42_15_R_#198	B0A	2	2809	3165	357
1CM42_15_R_#198	D0X	1	3166	3394	229
1CM42_15_R_#198	G04	7	3395	3448	54
1CM42_15_R_#198	B0B	3	3449	3804	356
1CM42_15_R_#198	G11	14	3805	3858	54
1CM42_15_R_#198	B0A	2	3859	4044	186
1CM42_15_R_#198	G10	13	4045	4081	37
1CM42_15_R_#198	B0B	3	4082	4371	290
1CM42_15_R_#198	G07	10	4372	4425	54
1CM42_15_R_#198	D0X	1	4426	4465	40
1CM42_15_R_#199	B0A	2	1	16	16
1CM42_15_R_#199	G09	12	17	65	49
1CM42_15_R_#199	B0B	3	66	329	264
1CM42_15_R_#199	G08	11	330	387	58
1CM42_15_R_#199	B0A	2	388	660	273
1CM42_15_R_#199	G07	10	661	710	50
1CM42_15_R_#199	B0A	2	711	947	237
1CM42_15_R_#199	G10	13	948	992	45
1CM42_15_R_#199	B0A	2	993	1292	300
1CM42_15_R_#199	D0X	1	1293	1534	242
1CM42_15_R_#199	G05	8	1535	1597	63
1CM42_15_R_#199	B0A	2	1598	1941	344
1CM42_15_R_#199	D0X	1	1942	2239	298
1CM42_15_R_#199	G11	14	2240	2308	69
1CM42_15_R_#199	B0B	3	2309	2602	294
1CM42_15_R_#199	G03	6	2603	2641	39
1CM42_15_R_#199	B0B	3	2642	2887	246
1CM42_15_R_#199	G06	9	2888	2929	42
1CM42_15_R_#199	B0A	2	2930	3162	233
1CM42_15_R_#199	D0X	1	3163	3558	396
1CM42_15_R_#199	G01	4	3559	3597	39
1CM42_15_R_#199	B0B	3	3598	3884	287
1CM42_15_R_#199	G02	5	3885	3910	26
1CM42_15_R_#199	B0B	3	3911	4161	251
1CM42_15_R_#199	G04	7	4162	4219	58
1CM42_15_R_#199	D0X	1	4220	4243	24
1CM42_15_R_#200	B0B	3	1	11	11
1CM42_15_R_#200	G11	14	12	60	49
1CM42_15_R_#200	B0A	2	61	400	340
1CM42_15_R_#200	G09	12	401	451	51
1CM42_15_R_#200	B0B	3	452	780	329
1CM42_15_R_#200	G06	9	781	828	48
1CM42_15_R_#200	B0B	3	829	1173	345
1CM42_15_R_#200	G07	10	1174	1230	57
1CM42_15_R_#200	B0A	2	1231	1500	270
1CM42_15_R_#200	G08	11	1501	1542	42
1CM42_15_R_#200	B0B	3	1543	1796	254
1CM42_15_R_#200	D0X	1	1797	2086	290
1CM42_15_R_#200	G03	6	2087	2136	50
1CM42_15_R_#200	B0B	3	2137	2486	350
1CM42_15_R_#200	G10	13	2487	2536	50
1CM42_15_R_#200	B0A	2	2537	2885	349
1CM42_15_R_#200	D0X	1	2886	3201	316
1CM42_15_R_#200	G01	4	3202	3238	37
1CM42_15_R_#200	B0A	2	3239	3559	321
1CM42_15_R_#200	D0X	1	3560	3699	140
1CM42_15_R_#200	G02	5	3700	3739	40
1CM42_15_R_#200	B0B	3	3740	4152	413
1CM42_15_R_#200	G05	8	4153	4198	46
1CM42_15_R_#200	B0A	2	4199	4483	285
1CM42_15_R_#200	G04	7	4484	4536	53
1CM42_15_R_#200	D0X	1	4537	4583	47
